Time,Ping_Original,LEO_Original,Ping_Kalman,LEO_Kalman,Ping_HMM,LEO_HMM,Ping_Keplerian,LEO_Keplerian
310,21.0743163536827,214,20.4301247332498,94,20.868473899985,61,20.9778755275534,61
320,21.2869047573972,214,19.6665970407452,94,22.1063895138894,61,26.4709106408562,94
330,23.1584597068692,214,20.5991663392554,94,20.5556859733843,61,22.0707449376851,94
340,23.3847803172808,214,18.8926074311294,94,22.2650850641963,94,20.7741190986717,94
350,29.5080971189196,214,20.7676981874043,94,21.0721245064934,94,22.1706248255674,94
360,23.4352426298346,214,21.0344151613119,94,23.2648118698784,94,21.8157198684765,94
370,24.4508645497288,214,26.4001964945435,94,22.1506565883103,94,22.1586819872977,94
380,24.8862168680218,214,20.1662489542263,94,21.9595257981737,317,22.5730478841725,317
390,25.6531455589861,214,21.1966026716385,94,21.1529138292519,317,22.0567116039493,317
400,21.081952492421,317,20.1324938847359,94,23.0077188072494,317,21.4589832710094,317
410,25.1491690333392,317,19.7427671817556,94,21.8790475900178,317,21.124938125805,317
420,22.2864044158854,317,20.5464912823428,94,21.5398325098374,317,22.4500024633552,317
430,20.3175245058077,317,21.1684428152226,94,21.8721389272423,317,21.8820857723902,317
440,21.6597417640946,317,21.0292905155448,94,20.7601356635838,317,21.7508775013867,317
450,21.4342904671055,317,21.2085106007433,94,21.2231413643296,317,20.3903643638489,317
460,20.1012732663201,317,20.7557824550096,94,21.1006466345907,317,20.8278068188544,17
470,21.3587016014612,317,22.166145320264,94,22.3413664257077,17,20.8765204782997,17
480,20.9888942247606,317,21.6911740470091,94,20.6945927534402,17,21.9353661958272,17
490,22.3395365043955,317,21.0390404571149,317,31.1868787793858,17,20.8990991954608,17
500,23.6785457292831,317,21.8236090314692,317,21.6813189055855,17,21.3333171736738,17
510,22.5752000129055,317,22.6463107608934,317,20.2857585595727,17,22.1557277602059,17
520,22.9234651301966,317,21.2638229619563,317,21.4749275610477,17,21.6565508327187,17
530,22.2369477632256,317,20.7068838473832,317,21.7616576910197,17,21.256980810288,17
540,24.6316048481608,317,21.7457048684279,317,21.2715874853368,17,21.1845900884393,17
550,24.7633912440229,317,21.2786458036581,317,22.4300019765107,17,21.5359008388246,17
560,25.3988179211777,317,20.9929986042789,317,21.7900500897171,17,21.957232787741,17
570,28.5133037953434,317,20.540859265952,317,23.2962184203485,17,23.2797338217973,93
580,25.6214191603626,317,21.0628986797874,317,21.1211045905411,93,22.2597588958579,93
590,22.3597134671834,93,20.7089624375295,317,21.9658356945328,93,22.7407928661335,93
600,21.333746010761,93,19.9728480623835,317,21.4919249795769,93,22.2075721524324,93
610,20.8686132924531,93,21.1833076299507,17,21.5846821827604,93,20.9356212746751,93
620,21.0508342770462,93,20.9347215722171,17,21.5636363509963,93,21.8973134014679,93
630,20.7556944495584,93,19.5742017886115,17,20.2563397316329,93,22.0840068711385,93
640,21.3795651124996,93,19.9524466460833,17,20.9632335444336,93,21.4947158739882,34
650,22.0778562717218,93,20.8831798597622,17,26.1999353072589,34,20.0786864970419,34
660,21.5240805890433,93,19.2940709561736,17,20.8214113686518,34,20.8370432834359,34
670,21.8360192241783,93,20.2514401520857,17,22.2042096961614,34,22.3390086743991,34
680,22.1110865301156,93,20.1054737787778,17,22.608164746621,34,22.0742744713315,34
690,22.8609597914136,93,20.9784694657634,17,21.2677809632054,34,22.4631550592645,34
700,22.3556690377741,93,20.7098191233906,17,22.4086980519746,34,21.8935039758493,34
710,21.5241185761755,93,20.0363942559371,17,22.427769383696,34,23.3328778465661,34
720,22.7164885413218,93,21.4921016720146,17,26.867558142999,34,25.3657256749939,34
730,22.8773770058698,93,21.0887179642083,17,23.850567805407,34,22.563232822727,76
740,23.6258436765073,93,22.2584964123023,17,24.7339417395611,34,21.5974325304252,76
750,23.3604682310204,93,21.3801799633453,93,22.0716722195362,16,23.1617100930635,16
760,25.3809142089565,93,22.8733967292539,93,23.3915380970481,16,23.5145364378128,16
770,22.5162083726104,16,21.5286143443763,93,21.0210940103687,16,21.2918236134349,16
780,21.8329824906106,16,20.4216155954926,93,22.2705703592661,16,20.8880831230937,16
790,21.7304249143963,16,21.3409585212213,93,22.618311359518,16,32.5142551742271,16
800,21.7085002549315,16,24.3338364075096,93,21.2994036785845,16,20.9162770621469,16
810,20.1529769895567,16,19.8871563340817,93,20.8178165657444,16,21.5503615166197,16
820,21.4441083833953,16,19.6952440858754,93,21.0799428246723,16,22.365607044107,16
830,20.9714553333109,16,21.1343389495903,34,20.01903245747,16,21.5490690274944,16
840,20.6613617452592,16,20.4622056171363,34,22.1741294951754,16,20.3769290012778,16
850,21.6644399249675,16,20.5137569987927,34,21.7342906702736,16,21.3296514416982,16
860,20.5046245512314,16,19.8091496419821,34,21.4833166357502,16,20.7561235036027,16
870,22.5153346290561,16,20.9664960112526,34,21.6475117944831,16,22.0976189842119,16
880,22.0940137214768,16,21.2167802960211,34,21.638196235547,16,22.1078291827114,16
890,22.2359943207078,16,21.6142017121436,34,22.4185565673124,16,22.6921464026682,16
900,23.1758410313689,16,21.0087210022202,34,22.856812913472,16,22.6861743956952,92
910,22.9477136053349,16,22.4483091357149,34,23.4314404383323,16,22.1020911552001,92
920,23.3264495670198,16,22.5219360568735,34,22.0292488376285,92,22.5849532635949,92
930,24.200880083933,16,21.2885406891381,76,22.7605079072038,92,21.5840339996786,92
940,24.6509778538289,16,22.2494639241799,16,21.5973376727899,92,21.442058952384,92
950,22.7411053690854,92,21.2792198195938,16,21.0523344608873,92,21.5554759112901,92
960,30.6147572562508,92,22.0059950055087,16,21.2576929580538,92,22.2789194310315,92
970,21.952651174878,92,21.0606262810279,16,21.3910795587172,92,20.2560752099588,33
980,21.8174244710846,92,21.3795766709733,16,21.8686383298084,33,22.0908119756721,33
990,22.1022145645818,92,20.1616767426229,16,21.2781022379165,33,20.8067892096964,33
