name,initial_altitude,inclination,initial_latitude,initial_longitude,sat_type
EastLansing64,549.999999999998,53.2,0.919338171129278,-0.489883280788019,LEO
EastLansing65,549.999999999998,53.2,0.917562409856471,-0.472787784606195,LEO
EastLansing66,550.000000000001,53.2,0.915634035123319,-0.455778347037374,LEO
EastLansing67,549.999999999999,53.2,0.913554417428867,-0.438861191456982,LEO
EastLansing68,550,53.2,0.911325016926304,-0.422042291065639,LEO
EastLansing69,550,53.2,0.908947378703442,-0.405327357821306,LEO
EastLansing70,550,53.2,0.906423127902437,-0.38872183295891,LEO
EastLansing71,549.999999999999,53.2,0.903753964712097,-0.372230879100468,LEO
EastLansing72,550,53.2,0.900941659265649,-0.355859373943056,LEO
EastLansing73,550,53.2,0.897988046476057,-0.339611905497367,LEO
EastLansing74,550,53.2,0.894895020839899,-0.323492768836232,LEO
EastLansing75,550,53.2,0.891664531239435,-0.307505964300419,LEO
EastLansing76,550.000000000001,53.2,0.888298575770896,-0.291655197098449,LEO
EastLansing77,549.999999999999,53.2,0.884799196625246,-0.275943878228041,LEO
EastLansing78,549.999999999999,53.2,0.881168475045684,-0.260375126639273,LEO
EastLansing79,550.000000000001,53.2,0.877408526384101,-0.2449517725535,LEO
EastLansing80,550.000000000001,53.2,0.873521495276571,-0.229676361847496,LEO
EastLansing81,550,53.2,0.869509550955707,-0.214551161409237,LEO
EastLansing82,550.000000000001,53.2,0.865374882715566,-0.199578165369904,LEO
EastLansing83,549.999999999997,53.2,0.861119695542538,-0.184759102116249,LEO
EastLansing84,549.999999999999,53.2,0.856746205923559,-0.170095441988026,LEO
EastLansing85,550,53.2,0.852256637840852,-0.15558840556691,LEO
EastLansing86,550.000000000001,53.2,0.847653218960459,-0.14123897246581,LEO
EastLansing87,550,53.2,0.842938177019915,-0.127047890530855,LEO
EastLansing88,550.000000000002,53.2,0.838113736418626,-0.113015685372251,LEO
EastLansing89,550,53.2,0.833182115012912,-0.099142670144706,LEO
EastLansing90,550,53.2,0.828145521116115,-0.0854289555029908,LEO
EastLansing91,550,53.2,0.82300615070284,-0.0718744596633929,LEO
EastLansing92,550.000000000001,53.2,0.817766184815123,-0.0584789185071761,LEO
EastLansing93,549.999999999999,53.2,0.812427787167255,-0.0452418956676159,LEO
EastLansing94,550,53.2,0.806993101945,-0.0321627925477026,LEO
EastLansing95,550.000000000001,53.2,0.801464251794136,-0.0192408582209844,LEO
EastLansing96,550,53.2,0.795843335992522,-0.00647519917338535,LEO
EastLansing97,549.999999999999,53.2,0.790132428799325,0.00613521115104287,LEO
EastLansing98,550,53.2,0.784333577974551,0.0185915230325264,LEO
